Total resource allocated for Hadoop clsuter 	540.0 vCPU 	1080.0 GB memory
Resources (vCPU, Memory) unused in every commit (10000) milli seconds
0	0.0		4.0
1	0.0		4.0
2	0.0		246.0
3	0.0		239.0
4	0.0		286.5
5	0.0		256.0
6	0.0		300.0
7	0.0		338.5
8	0.0		387.5
9	0.0		384.5
10	0.0		335.0
11	0.0		317.0
12	50.0	485.0
13	52.0	682.5
14	42.0	700.0
15	42.0	699.0
16	42.0	699.5
17	42.0	700.0
18	42.0	700.5
19	42.0	701.0
20	42.0	700.5
21	42.0	700.0
22	42.0	699.5
23	42.0	699.5
24	42.0	699.0
25	42.0	699.0
26	188.0	808.5
27	336.0	919.5
28	430.0	980.0
29	430.0	980.0
30	432.0	981.0
31	432.0	981.0
32	438.0	984.0
33	438.0	984.0
34	446.0	988.0
35	448.0	989.0
36	469.0	1008.0
37	472.0	1011.0
38	472.0	1011.0
39	476.0	1013.0
40	478.0	1014.0
41	480.0	1015.0
42	480.0	1015.0
43	480.0	1015.0
44	480.0	1015.0
45	480.0	1015.0
46	480.0	1015.0
47	480.0	1015.0
48	480.0	1015.0
49	480.0	1015.0
50	480.0	1015.0
51	480.0	1015.0
52	480.0	1015.0
53	480.0	1015.0
54	480.0	1015.0
55	480.0	1015.0
56	480.0	1015.0
57	480.0	1015.0
58	480.0	1015.0
59	480.0	1015.0
60	480.0	1015.0
61	480.0	1015.0
62	480.0	1015.0
63	480.0	1015.0
64	482.0	1017.0
65	490.0	1025.0
66	492.0	1027.0
67	496.0	1031.0
68	496.0	1031.0
69	500.0	1035.0
70	502.0	1037.0
71	502.0	1037.0
72	508.0	1043.0
73	510.0	1045.0
74	512.0	1047.0
75	516.0	1051.0
76	516.0	1051.0
77	516.0	1051.0
78	516.0	1051.0
79	516.0	1051.0
80	516.0	1051.0
81	516.0	1051.0
82	516.0	1051.0
83	516.0	1051.0
84	516.0	1051.0
85	516.0	1051.0
86	516.0	1051.0
87	516.0	1051.0
88	516.0	1051.0
89	516.0	1051.0
90	516.0	1051.0
91	516.0	1051.0
92	516.0	1051.0
93	516.0	1051.0
94	516.0	1051.0
95	530.0	1068.5
96	540.0	1080.0
