Total resource allocated for Hadoop clsuter 	540.0 vCPU 	1080.0 GB memory
Resources (vCPU, Memory) unused in every commit (10000) milli seconds
0	0.0		357.5
1	0.0		311.5
2	0.0		321.5
3	0.0		304.5
4	0.0		297.0
5	0.0		247.5
6	0.0		218.5
7	0.0		174.0
8	0.0		178.0
9	0.0		210.0
10	0.0		266.0
11	0.0		311.0
12	0.0		318.5
13	42.0	527.0
14	36.0	698.5
15	36.0	697.5
16	36.0	697.5
17	36.0	697.0
18	38.0	698.5
19	40.0	699.0
20	38.0	697.5
21	36.0	695.5
22	36.0	695.5
23	36.0	694.5
24	36.0	695.0
25	36.0	694.5
26	132.0	766.5
27	380.0	952.5
28	432.0	981.0
29	432.0	981.0
30	432.0	981.0
31	440.0	985.0
32	442.0	986.0
33	446.0	988.0
34	448.0	989.0
35	454.0	992.0
36	472.0	1010.0
37	476.0	1013.0
38	476.0	1013.0
39	478.0	1014.0
40	478.0	1014.0
41	480.0	1015.0
42	480.0	1015.0
43	480.0	1015.0
44	480.0	1015.0
45	480.0	1015.0
46	480.0	1015.0
47	480.0	1015.0
48	480.0	1015.0
49	480.0	1015.0
50	480.0	1015.0
51	480.0	1015.0
52	480.0	1015.0
53	480.0	1015.0
54	480.0	1015.0
55	480.0	1015.0
56	480.0	1015.0
57	480.0	1015.0
58	480.0	1015.0
59	480.0	1015.0
60	480.0	1015.0
61	480.0	1015.0
62	480.0	1015.0
63	480.0	1015.0
64	482.0	1017.0
65	482.0	1017.0
66	486.0	1021.0
67	492.0	1027.0
68	494.0	1029.0
69	504.0	1039.0
70	504.0	1039.0
71	506.0	1041.0
72	508.0	1043.0
73	510.0	1045.0
74	514.0	1049.0
75	514.0	1049.0
76	516.0	1051.0
77	516.0	1051.0
78	516.0	1051.0
79	516.0	1051.0
80	516.0	1051.0
81	516.0	1051.0
82	516.0	1051.0
83	516.0	1051.0
84	516.0	1051.0
85	516.0	1051.0
86	516.0	1051.0
87	516.0	1051.0
88	516.0	1051.0
89	516.0	1051.0
90	516.0	1051.0
91	516.0	1051.0
92	516.0	1051.0
93	516.0	1051.0
94	516.0	1051.0
95	528.0	1066.0
96	540.0	1080.0
