Total resource allocated for Hadoop clsuter 	540.0 vCPU 	1080.0 GB memory
Resources (vCPU, Memory) unused in every commit (10000) milli seconds
0	0.0		528.0
1	0.0		1076.0
2	0.0		300.0
3	0.0		302.0
4	0.0		302.0
5	0.0		320.5
6	0.0		320.5
7	0.0		394.5
8	0.0		382.0
9	0.0		517.0
10	0.0		531.0
11	0.0		596.5
12	0.0		605.0
13	0.0		598.5
14	0.0		596.0
15	0.0		595.0
16	0.0		594.0
17	0.0		593.0
18	6.0		591.0
19	0.0		583.0
20	2.0		584.0
21	0.0		582.5
22	0.0		572.5
23	0.0		572.5
24	0.0		570.0
25	0.0		530.0
26	0.0		525.0
27	0.0		425.0
28	17.0	434.0
29	3.0		411.0
30	28.0	353.5
31	83.0	416.0
32	96.0	367.0
33	242.0	616.5
34	299.0	710.5
35	410.0	887.5
36	468.0	986.0
37	490.0	1022.5
38	478.0	1018.5
39	468.0	1005.0
40	468.0	1005.0
41	460.0	995.0
42	460.0	995.0
43	460.0	995.0
44	460.0	995.0
45	460.0	995.0
46	460.0	995.0
47	460.0	995.0
48	460.0	995.0
49	460.0	995.0
50	460.0	995.0
51	460.0	995.0
52	460.0	995.0
53	460.0	995.0
54	460.0	995.0
55	460.0	995.0
56	460.0	995.0
57	460.0	995.0
58	460.0	995.0
59	460.0	995.0
60	460.0	995.0
61	460.0	995.0
62	462.0	997.0
63	482.0	1017.0
64	492.0	1027.0
65	502.0	1037.0
66	506.0	1041.0
67	510.0	1045.0
68	514.0	1049.0
69	514.0	1049.0
70	516.0	1051.0
71	516.0	1051.0
72	516.0	1051.0
73	516.0	1051.0
74	516.0	1051.0
75	516.0	1051.0
76	516.0	1051.0
77	516.0	1051.0
78	516.0	1051.0
79	516.0	1051.0
80	516.0	1051.0
81	516.0	1051.0
82	516.0	1051.0
83	516.0	1051.0
84	516.0	1051.0
85	516.0	1051.0
86	516.0	1051.0
87	516.0	1051.0
88	516.0	1051.0
89	516.0	1051.0
90	516.0	1051.0
91	516.0	1051.0
92	516.0	1051.0
93	516.0	1051.0
94	516.0	1051.0
95	516.0	1051.0
96	516.0	1051.0
97	516.0	1051.0
98	516.0	1051.0
99	516.0	1051.0
100	516.0	1051.0
101	516.0	1051.0
102	516.0	1051.0
103	516.0	1051.0
104	516.0	1051.0
105	516.0	1051.0
106	516.0	1051.0
107	528.0	1066.0
108	532.0	1071.0
109	540.0	1080.0
110	540.0	1080.0
111	540.0	1080.0
112	540.0	1080.0
113	540.0	1080.0
114	540.0	1080.0
115	540.0	1080.0
116	540.0	1080.0
