Total resource allocated for Hadoop clsuter 	540.0 vCPU 	1080.0 GB memory
Resources (vCPU, Memory) unused in every commit (10000) milli seconds
0	0.0		528.0
1	0.0		26.5
2	0.0		26.5
3	0.0		343.0
4	0.0		430.0
5	10.0	390.0
6	0.0		203.0
7	0.0		174.0
8	0.0		196.5
9	0.0		223.0
10	0.0		245.5
11	0.0		313.5
12	27.0	416.5
13	34.0	588.5
14	32.0	697.0
15	32.0	695.0
16	32.0	693.5
17	32.0	693.0
18	32.0	691.0
19	32.0	689.5
20	32.0	689.0
21	32.0	688.5
22	32.0	687.5
23	24.0	686.0
24	24.0	684.5
25	150.0	778.5
26	350.0	928.0
27	478.0	1014.0
28	480.0	1015.0
29	480.0	1015.0
30	480.0	1015.0
31	480.0	1015.0
32	484.0	1019.0
33	492.0	1027.0
34	494.0	1029.0
35	498.0	1033.0
36	502.0	1037.0
37	504.0	1039.0
38	506.0	1041.0
39	510.0	1045.0
40	510.0	1045.0
41	516.0	1051.0
42	516.0	1051.0
43	516.0	1051.0
44	516.0	1051.0
45	516.0	1051.0
46	516.0	1051.0
47	516.0	1051.0
48	516.0	1051.0
49	516.0	1051.0
50	516.0	1051.0
51	518.0	1053.5
52	534.0	1073.5
53	540.0	1080.0
54	540.0	1080.0
55	540.0	1080.0
56	540.0	1080.0
57	540.0	1080.0
58	540.0	1080.0
59	540.0	1080.0
60	540.0	1080.0
61	540.0	1080.0
62	540.0	1080.0
63	540.0	1080.0
64	540.0	1080.0
65	540.0	1080.0
66	540.0	1080.0
67	540.0	1080.0
68	540.0	1080.0
69	540.0	1080.0
70	540.0	1080.0
71	540.0	1080.0
72	540.0	1080.0
73	540.0	1080.0
74	540.0	1080.0
75	540.0	1080.0
76	540.0	1080.0
77	540.0	1080.0
78	540.0	1080.0
79	540.0	1080.0
80	540.0	1080.0
81	540.0	1080.0
82	540.0	1080.0
83	540.0	1080.0
84	540.0	1080.0
85	540.0	1080.0
86	540.0	1080.0
87	540.0	1080.0
88	540.0	1080.0
89	540.0	1080.0
90	540.0	1080.0
91	540.0	1080.0
92	540.0	1080.0
93	540.0	1080.0
94	540.0	1080.0
95	540.0	1080.0
96	540.0	1080.0
97	540.0	1080.0
98	540.0	1080.0
99	540.0	1080.0
100	540.0	1080.0
101	540.0	1080.0
102	540.0	1080.0
103	540.0	1080.0
104	540.0	1080.0
105	540.0	1080.0
106	540.0	1080.0
107	540.0	1080.0
108	540.0	1080.0
109	540.0	1080.0
110	540.0	1080.0
111	540.0	1080.0
112	540.0	1080.0
113	540.0	1080.0
114	540.0	1080.0
115	540.0	1080.0
116	540.0	1080.0
117	540.0	1080.0
118	540.0	1080.0
119	540.0	1080.0
120	540.0	1080.0
121	540.0	1080.0
122	540.0	1080.0
123	540.0	1080.0
124	540.0	1080.0
125	540.0	1080.0
126	540.0	1080.0
127	540.0	1080.0
128	540.0	1080.0
129	540.0	1080.0
130	540.0	1080.0
131	540.0	1080.0
132	540.0	1080.0
133	540.0	1080.0
134	540.0	1080.0
135	540.0	1080.0
136	540.0	1080.0
137	540.0	1080.0
138	540.0	1080.0
139	540.0	1080.0
140	540.0	1080.0
141	540.0	1080.0
142	540.0	1080.0
143	540.0	1080.0
144	540.0	1080.0
145	540.0	1080.0
146	540.0	1080.0
147	540.0	1080.0
148	540.0	1080.0
149	540.0	1080.0
150	540.0	1080.0
151	540.0	1080.0
152	540.0	1080.0
153	540.0	1080.0
154	540.0	1080.0
155	540.0	1080.0
156	540.0	1080.0
157	540.0	1080.0
158	540.0	1080.0
159	540.0	1080.0
160	540.0	1080.0
