Total resource allocated for Hadoop clsuter 	540.0 vCPU 	1080.0 GB memory
Resources (vCPU, Memory) unused in every commit (10000) milli seconds
0	0.0		524.5
1	0.0		336.0
2	0.0		337.0
3	0.0		277.0
4	0.0		231.5
5	0.0		220.5
6	0.0		253.5
7	0.0		263.5
8	0.0		259.5
9	0.0		266.0
10	0.0		252.0
11	0.0		278.5
12	0.0		336.0
13	0.0		363.5
14	41.0	536.5
15	38.0	704.5
16	38.0	700.5
17	38.0	698.5
18	38.0	697.5
19	38.0	696.0
20	38.0	692.0
21	38.0	691.5
22	38.0	691.0
23	38.0	690.5
24	38.0	690.5
25	38.0	690.5
26	150.0	774.5
27	330.0	909.5
28	454.0	992.0
29	454.0	992.0
30	458.0	994.0
31	458.0	994.0
32	458.0	994.0
33	458.0	994.0
34	458.0	994.0
35	460.0	995.0
36	460.0	995.0
37	460.0	995.0
38	480.0	1015.0
39	480.0	1015.0
40	480.0	1015.0
41	480.0	1015.0
42	480.0	1015.0
43	480.0	1015.0
44	480.0	1015.0
45	480.0	1015.0
46	480.0	1015.0
47	480.0	1015.0
48	480.0	1015.0
49	480.0	1015.0
50	480.0	1015.0
51	480.0	1015.0
52	480.0	1015.0
53	480.0	1015.0
54	480.0	1015.0
55	480.0	1015.0
56	480.0	1015.0
57	480.0	1015.0
58	480.0	1015.0
59	480.0	1015.0
60	480.0	1015.0
61	480.0	1015.0
62	480.0	1015.0
63	480.0	1015.0
64	480.0	1015.0
65	480.0	1015.0
66	486.0	1021.0
67	502.0	1037.0
68	508.0	1043.0
69	512.0	1047.0
70	516.0	1051.0
71	516.0	1051.0
72	516.0	1051.0
73	516.0	1051.0
74	516.0	1051.0
75	516.0	1051.0
76	516.0	1051.0
77	516.0	1051.0
78	516.0	1051.0
79	516.0	1051.0
80	516.0	1051.0
81	516.0	1051.0
82	516.0	1051.0
83	516.0	1051.0
84	516.0	1051.0
85	516.0	1051.0
86	516.0	1051.0
87	516.0	1051.0
88	516.0	1051.0
89	516.0	1051.0
90	516.0	1051.0
91	516.0	1051.0
92	516.0	1051.0
93	518.0	1053.5
94	520.0	1056.0
95	530.0	1068.5
96	540.0	1080.0
97	540.0	1080.0
98	540.0	1080.0
99	540.0	1080.0
100	540.0	1080.0
101	540.0	1080.0
102	540.0	1080.0
103	540.0	1080.0
104	540.0	1080.0
105	540.0	1080.0
106	540.0	1080.0
107	540.0	1080.0
108	540.0	1080.0
109	540.0	1080.0
110	540.0	1080.0
111	540.0	1080.0
112	540.0	1080.0
113	540.0	1080.0
114	540.0	1080.0
115	540.0	1080.0
116	540.0	1080.0
117	540.0	1080.0
118	540.0	1080.0
119	540.0	1080.0
120	540.0	1080.0
121	540.0	1080.0
122	540.0	1080.0
123	540.0	1080.0
124	540.0	1080.0
125	540.0	1080.0
126	540.0	1080.0
127	540.0	1080.0
128	540.0	1080.0
129	540.0	1080.0
130	540.0	1080.0
131	540.0	1080.0
132	540.0	1080.0
133	540.0	1080.0
134	540.0	1080.0
135	540.0	1080.0
136	540.0	1080.0
137	540.0	1080.0
138	540.0	1080.0
139	540.0	1080.0
140	540.0	1080.0
141	540.0	1080.0
142	540.0	1080.0
143	540.0	1080.0
144	540.0	1080.0
145	540.0	1080.0
146	540.0	1080.0
147	540.0	1080.0
148	540.0	1080.0
149	540.0	1080.0
150	540.0	1080.0
151	540.0	1080.0
152	540.0	1080.0
153	540.0	1080.0
154	540.0	1080.0
155	540.0	1080.0
156	540.0	1080.0
157	540.0	1080.0
158	540.0	1080.0
159	540.0	1080.0
160	540.0	1080.0
161	540.0	1080.0
162	540.0	1080.0
163	540.0	1080.0
164	540.0	1080.0
165	540.0	1080.0
166	540.0	1080.0
167	540.0	1080.0
168	540.0	1080.0
169	540.0	1080.0
170	540.0	1080.0
171	540.0	1080.0
172	540.0	1080.0
173	540.0	1080.0
174	540.0	1080.0
175	540.0	1080.0
176	540.0	1080.0
177	540.0	1080.0
178	540.0	1080.0
179	540.0	1080.0
180	540.0	1080.0
181	540.0	1080.0
182	540.0	1080.0
183	540.0	1080.0
184	540.0	1080.0
185	540.0	1080.0
186	540.0	1080.0
187	540.0	1080.0
188	540.0	1080.0
189	540.0	1080.0
190	540.0	1080.0
191	540.0	1080.0
192	540.0	1080.0
193	540.0	1080.0
194	540.0	1080.0
195	540.0	1080.0
196	540.0	1080.0
197	540.0	1080.0
198	540.0	1080.0
199	540.0	1080.0
200	540.0	1080.0
201	540.0	1080.0
202	540.0	1080.0
203	540.0	1080.0
204	540.0	1080.0
205	540.0	1080.0
206	540.0	1080.0
207	540.0	1080.0
208	540.0	1080.0
209	540.0	1080.0
210	540.0	1080.0
211	540.0	1080.0
212	540.0	1080.0
213	540.0	1080.0
214	540.0	1080.0
215	540.0	1080.0
216	540.0	1080.0
217	540.0	1080.0
218	540.0	1080.0
219	540.0	1080.0
220	540.0	1080.0
221	540.0	1080.0
222	540.0	1080.0
223	540.0	1080.0
224	540.0	1080.0
